نام روستا,نام شهرستان,سال اعتبار,فنی,تصویب,ابلاغ
وانا,آمل,1400,1403/05/21,,
هاره,آمل,1401,1403/03/13,1403/07/03,1403/07/18
نوا,آمل,1401,1403/07/22,,
نياك,آمل,1401,1403/05/21,,
بائيجان,آمل,1402,,,
ناندل,آمل,1400,,,
تسكابن,آمل,1400,1401/12/10,1402/06/13,1403/02/08
هلومسر,آمل,1400,,,
چنگاز,آمل,1400,1402/03/17,,
كارچي كلا,آمل,1403,,,
كوسه رز,آمل,1403,,,
ورامده,آمل,1402,,,
باريک محله,آمل,1401,1403/07/15,,
پاشاكلا,آمل,1401,1403/04/31,,
جعفراباد,آمل,1401,1403/02/19,1403/02/31,1403/03/10
دوتيره,آمل,1400,1401/09/09,1402/01/21,1402/04/20
رفيع اباد,آمل,1402,,,
رييس اباد,آمل,1402,,,
زيارکلا,آمل,1403,,,
سنگ بست,آمل,1400,1402/03/17,1402/05/02,1402/11/16
عاليكلااهي,آمل,1400,1402/03/03,1402/07/24,1403/01/19
کرسي کلا سفلي,آمل,1403,,,
كليك سر,آمل,1400,1401/09/20,1401/11/24,1402/03/17
کمانگرکلا,آمل,1400,1401/12/10,1402/03/29,1403/02/19
كهنه دان,آمل,1401,1403/08/02,,
اهنگرکلا,آمل,1400,1401/09/13,1401/12/06,1402/03/17
پاشاکلا,آمل,1400,1402/02/13,1402/06/13,1402/09/23
پلك سفلي,آمل,1400,1402/03/03,1402/04/05,
پلك عليا,آمل,1400,1402/03/03,1402/06/20,1403/05/28
چاره,آمل,1400,1401/06/09,1402/04/21,1403/06/05
داودکلا,آمل,1400,1402/04/24,1402/05/16,1402/11/12
كنسي,آمل,1400,1401/05/05,1401/12/06,
كمكلا,آمل,1402,,,
گالش كلا,آمل,1402,,,
مزرس,آمل,1400,1402/03/10,1402/08/08,1403/05/28
مهدي خيل,آمل,1400,1401/05/05,1402/03/29,1402/11/07
سعدين كلا,آمل,1400,1400/08/06,1401/02/17,1401/10/15
تجنك,آمل,1400,1402/03/03,1402/10/11,1402/12/03
معصوم اباد,آمل,1401,1402/10/13,1402/11/23,1403/01/19
کبودکلا,آمل,1400,1402/09/04,1402/11/09,1403/03/10
واسکس,آمل,1400,1401/09/09,1401/12/06,1402/04/19
سنگ چال,آمل,1401,1403/02/17,,
گت كلا,آمل,1400,1402/02/13,1402/03/29,1402/04/10
چنگ ميان,آمل,1400,1402/04/24,1402/05/16,1402/10/12
نوده,آمل,1402,,,
شيخ محله,آمل,1402,,,
اشکارکلا,آمل,1401,1403/04/31,,
كليكان,آمل,1400,1401/07/24,1401/11/24,1401/12/07
ازارسي حاتم,بابل,1402,,,
انيجدان,بابل,1400,1401/12/03,1402/04/12,1403/02/08
پرميناو شميون,بابل,1401,,,
گاوزن محله,بابل,1400,1403/06/28,,
لته,بابل,1400,,,
موزي كتي پارك,بابل,1400,1401/11/05,1402/03/08,1402/05/18
وولي كتي,بابل,1400,1402/03/24,,
ميرکتي,بابل,1401,,,
رفع بن,بابل,1402,,,
شهنه پشته حاجي مهد ئ,بابل,1402,,,
مسك,بابل,1402,,,
سفيدتورپايين,بابل,1402,,,
پاريكلا,بابل,1402,,,
سفيدتوربالا,بابل,1400,1402/09/15,1402/11/23,1403/02/08
دولت رودبار,بابل,1403,,,
ديوا ملكشاه,بابل,1400,1403/03/09,,
زريوران,بابل,1402,,,
زوارده,بابل,1401,1402/10/09,1402/11/30,1403/04/10
صلح داركلا,بابل,1401,1402/09/18,1402/12/14,1403/04/19
مومن اباد,بابل,1400,1401/11/05,1402/01/28,1402/07/24
فيروزجاثابت,بابل,1400,1402/06/01,,
ناريوران غربي,بابل,1401,1402/06/01,1402/11/02,1403/02/19
كاشيكلا,بابل,1401,1402/06/01,1402/11/02,1403/02/19
كشيرمحله,بابل,1401,1402/06/01,1402/08/01,1402/10/09
كلاگركلا,بابل,1402,,,
گردرودبار,بابل,1400,1402/06/01,1402/07/10,1403/05/28
گنج كلابالا,بابل,1401,1402/10/09,1402/12/14,1403/02/08
لدار,بابل,1401,1403/03/23,,
لمسوكلاغربي,بابل,1400,1402/08/20,1402/10/11,1403/06/05
مقريكلا,بابل,1401,1402/09/18,1402/11/23,1403/01/18
بالف كلاشرقي,بابل,1400,1401/05/09,1401/07/18,1401/09/10
درازكلا,بابل,1400,1402/02/27,,
سيدكلا,بابل,1401,1403/06/28,,
شيرداركلا,بابل,1400,1402/04/14,,
قائميه,بابل,1400,1403/03/23,1403/06/26,1403/07/23
بنداركلااغوزين,بابل,1402,1403/08/06,,
چمازكلا,بابل,1400,1401/03/11,1401/04/04,1401/05/29
دري كنده,بابل,1402,,,
كبودكلا,بابل,1403,,,
كپورچال,بابل,1400,1401/08/11,1401/09/12,1401/11/11
لنگور,بابل,1402,,,
موزي گله,بابل,1400,1402/02/27,,
نقيب كلاثلاث,بابل,1401,1402/09/15,1402/12/14,1403/01/19
ارچي,بابل,1400,1401/08/22,1401/09/05,1402/02/27
برسمنان,بابل,1400,1401/06/13,1401/07/18,1401/07/25
بوله كلا,بابل,1402,,,
بيجي کلا,بابل,1402,,,
ترك محله,بابل,1400,1402/10/02,1402/11/30,1402/12/22
تلي گران,بابل,1400,1402/02/16,1402/05/16,1402/07/24
خردون كلا,بابل,1400,1402/08/24,1402/09/27,1402/12/03
مرزون آباد درويش خيل,بابل,1402,,,
دهك,بابل,1400,1401/06/13,1401/07/18,1401/07/25
گردن بري سفلي,بابل,1402,,,
متكه,بابل,1401,1402/11/28,1403/02/19,1403/04/19
متي كلا,بابل,1402,,,
نودهك,بابل,1400,1401/06/13,1401/09/05,1402/02/27
هلال كلا,بابل,1402,,,
اقاملك,بابل,1401,1402/02/16,1402/03/08,1402/04/03
الله رودبار,بابل,1400,1401/08/26,1401/12/22,1402/03/17
دلاوركلا,بابل,1402,,,
حمزه كلا شش پل,بابل,1400,1401/08/04,1401/09/05,1402/02/20
شوب كلا,بابل,1400,1402/10/30,1403/02/24,1403/04/23
شيخ محله,بابل,1402,,,
عالي زمين,بابل,1401,1402/09/29,1402/11/02,1403/01/19
نقارچي محله,بابل,1400,1401/08/26,1401/09/12,1402/01/20
بالاسرست,بابل,1401,1402/09/29,1402/11/02,
بالاميركلا,بابل,1400,1401/08/26,1401/12/22,1402/03/17
پائين مرزناك,بابل,1401,1403/02/09,1403/05/15,1403/07/19
پائين ميركلا,بابل,1400,1401/11/09,1402/07/19,1402/10/17
پايين سرست,بابل,1400,1401/08/11,1402/01/28,1402/04/27
چاره,بابل,1400,1401/08/11,1402/01/28,1402/04/27
چناربن كشتلي,بابل,1401,,,
